employee_id,department,job_level,location,tenure_months,performance_rating,base_salary,market_benchmark_salary,comp_to_market_ratio,months_since_last_raise,last_merit_increase_pct,risk_score,risk_band,on_watchlist
DF-100551,Sales,L3 - Senior,Lisbon,59,3.0,80887.0,76555.0,1.0566,16,7.44,32.1,Moderate,False
DF-100582,Marketing,L3 - Senior,Munich,70,1.0,94563.0,91943.0,1.0285,20,3.16,32.0,Moderate,False
DF-100353,Support,L6 - Director,Lisbon,34,2.0,115394.0,116249.0,0.9926,11,1.78,31.8,Moderate,False
DF-100011,Sales,L1 - Junior,Berlin,12,3.0,54501.0,57997.0,0.9397,6,3.42,31.7,Moderate,False
DF-100139,Customer Success,L2 - Mid,Berlin,111,5.0,67943.0,56785.0,1.1965,18,0.83,31.4,Moderate,False
DF-100671,Engineering,L3 - Senior,Remote-DE,109,3.0,128575.0,103034.0,1.2479,22,3.04,31.4,Moderate,False
DF-100528,Product,L5 - Manager,Munich,77,3.0,166780.0,166809.0,0.9998,12,1.13,31.3,Moderate,False
DF-100673,Sales,L5 - Manager,Berlin,14,3.0,134961.0,136073.0,0.9918,11,1.51,31.1,Moderate,False
DF-100459,Support,L2 - Mid,Hamburg,24,4.0,51776.0,50014.0,1.0352,13,3.86,30.9,Moderate,False
DF-100364,Support,L1 - Junior,Berlin,15,4.0,38417.0,39867.0,0.9636,7,3.59,30.6,Moderate,False
DF-100024,Product,L1 - Junior,Remote-DE,34,3.0,57300.0,57805.0,0.9913,9,4.83,30.5,Moderate,False
DF-100240,Customer Success,L2 - Mid,London,92,3.0,81041.0,69951.0,1.1585,15,8.99,30.5,Moderate,False
DF-100265,Marketing,L4 - Lead,Remote-DE,101,3.0,123039.0,114223.0,1.0772,19,1.1,30.3,Moderate,False
DF-100324,Support,L1 - Junior,London,28,2.0,46640.0,41900.0,1.1131,17,2.55,30.3,Moderate,False
DF-100425,Operations,L2 - Mid,Berlin,64,1.0,57019.0,54548.0,1.0453,11,4.49,30.2,Moderate,False
DF-100637,People/HR,L2 - Mid,Berlin,51,4.0,59014.0,57860.0,1.0199,12,0.0,30.1,Moderate,False
DF-100592,Data & Analytics,L3 - Senior,Remote-DE,53,4.0,101989.0,92440.0,1.1033,29,2.84,30.1,Moderate,False
DF-100088,Data & Analytics,L5 - Manager,Berlin,27,2.0,149464.0,135672.0,1.1017,19,1.71,30.0,Moderate,False
DF-100084,Sales,L2 - Mid,Hamburg,36,3.0,67630.0,65629.0,1.0305,13,7.96,29.7,Low,False
DF-100318,People/HR,L2 - Mid,London,11,4.0,70832.0,69033.0,1.0261,9,4.68,29.6,Low,False
DF-100182,Operations,L6 - Director,Munich,31,3.0,160579.0,156561.0,1.0257,21,2.18,29.5,Low,False
DF-100155,Marketing,L2 - Mid,Berlin,29,2.0,62483.0,65257.0,0.9575,0,5.48,29.4,Low,False
DF-100157,Product,L4 - Lead,Remote-DE,32,3.0,129702.0,128391.0,1.0102,5,3.17,29.3,Low,False
DF-100340,Support,L1 - Junior,Remote-DE,40,4.0,39393.0,37764.0,1.0431,18,9.89,29.2,Low,False
DF-100483,Product,L1 - Junior,London,18,5.0,69183.0,66635.0,1.0382,24,2.06,29.1,Low,False
DF-100242,Sales,L1 - Junior,Remote-DE,27,3.0,50861.0,48854.0,1.0411,10,5.58,29.0,Low,False
DF-100523,Engineering,L4 - Lead,Remote-DE,188,4.0,145643.0,134967.0,1.0791,15,0.78,29.0,Low,False
DF-100166,Data & Analytics,L2 - Mid,London,16,3.0,98642.0,100673.0,0.9798,18,4.31,28.9,Low,False
DF-100306,Engineering,L2 - Mid,Hamburg,39,4.0,82306.0,69683.0,1.1811,16,1.64,28.8,Low,False
DF-100235,Sales,L4 - Lead,Remote-DE,119,3.0,126491.0,112063.0,1.1287,18,0.98,28.7,Low,False
DF-100599,Customer Success,L1 - Junior,Berlin,66,4.0,46131.0,45354.0,1.0171,13,4.14,28.5,Low,False
DF-100590,People/HR,L1 - Junior,Munich,34,3.0,52335.0,46227.0,1.1321,23,1.67,28.2,Low,False
DF-100100,Support,L3 - Senior,Lisbon,63,2.0,68558.0,61191.0,1.1204,20,2.17,28.2,Low,False
DF-100256,Engineering,L1 - Junior,Munich,8,2.0,68838.0,67759.0,1.0159,12,2.14,28.0,Low,False
DF-100029,Support,L2 - Mid,Remote-DE,71,5.0,53397.0,48833.0,1.0935,24,2.26,28.0,Low,False
DF-100119,Sales,L1 - Junior,London,14,2.0,60075.0,50933.0,1.1795,0,3.5,28.0,Low,False
DF-100452,Sales,L1 - Junior,Lisbon,43,3.0,51375.0,47341.0,1.0852,19,2.58,27.9,Low,False
DF-100517,Finance,L2 - Mid,London,26,4.0,73762.0,64822.0,1.1379,15,4.96,27.8,Low,False
DF-100212,Product,L1 - Junior,Munich,66,3.0,73668.0,64121.0,1.1489,22,1.53,27.8,Low,False
DF-100163,Data & Analytics,L1 - Junior,Munich,26,3.0,57985.0,52045.0,1.1141,13,3.07,27.7,Low,False
DF-100049,Sales,L2 - Mid,Remote-DE,17,4.0,61097.0,58525.0,1.0439,12,3.69,27.7,Low,False
DF-100091,Marketing,L2 - Mid,Remote-DE,58,3.0,61862.0,61675.0,1.003,9,3.37,27.7,Low,False
DF-100584,Marketing,L4 - Lead,Hamburg,24,3.0,111374.0,107858.0,1.0326,18,1.86,27.5,Low,False
DF-100138,Sales,L1 - Junior,London,29,1.0,67767.0,58531.0,1.1578,20,2.64,27.4,Low,False
DF-100606,Support,L1 - Junior,Remote-DE,30,4.0,40940.0,35318.0,1.1592,22,1.99,27.4,Low,False
DF-100367,Sales,L4 - Lead,London,10,5.0,144485.0,145283.0,0.9945,4,2.27,27.3,Low,False
DF-100211,Sales,L2 - Mid,Hamburg,84,3.0,72740.0,69139.0,1.0521,19,0.96,27.2,Low,False
DF-100408,Support,L2 - Mid,Lisbon,41,2.0,52316.0,40563.0,1.2897,24,2.39,27.2,Low,False
DF-100587,Support,L3 - Senior,Berlin,26,3.0,71943.0,66407.0,1.0834,7,6.92,27.2,Low,False
DF-100241,Data & Analytics,L1 - Junior,Lisbon,40,3.0,45581.0,43803.0,1.0406,12,5.1,27.2,Low,False
DF-100628,People/HR,L1 - Junior,Hamburg,33,5.0,55469.0,47143.0,1.1766,23,1.74,27.0,Low,False
DF-100538,People/HR,L1 - Junior,Lisbon,109,3.0,42537.0,37726.0,1.1275,12,5.86,27.0,Low,False
DF-100312,Sales,L2 - Mid,Munich,161,5.0,84213.0,76054.0,1.1073,16,5.25,27.0,Low,False
DF-100410,Customer Success,L3 - Senior,Munich,18,5.0,102687.0,81702.0,1.2568,15,1.45,26.8,Low,False
DF-100360,Support,L2 - Mid,Munich,32,2.0,59604.0,60479.0,0.9855,2,4.09,26.7,Low,False
DF-100333,Support,L1 - Junior,Lisbon,59,3.0,36063.0,32087.0,1.1239,17,4.9,26.5,Low,False
DF-100395,Product,L1 - Junior,Hamburg,49,4.0,63104.0,58977.0,1.07,25,0.73,26.5,Low,False
DF-100108,Sales,L2 - Mid,Remote-DE,26,3.0,70502.0,63778.0,1.1054,17,3.92,26.5,Low,False
DF-100570,People/HR,L3 - Senior,London,32,4.0,94744.0,92546.0,1.0238,10,3.95,26.4,Low,False
DF-100297,Sales,L2 - Mid,Lisbon,22,4.0,60172.0,64802.0,0.9286,0,4.12,26.3,Low,False
DF-100064,Engineering,L2 - Mid,Berlin,32,3.0,80608.0,76686.0,1.0511,8,2.38,26.3,Low,False
DF-100646,Product,L6 - Director,Hamburg,147,3.0,224471.0,179769.0,1.2487,22,1.7,25.9,Low,False
DF-100201,Operations,L2 - Mid,Munich,31,4.0,61375.0,61289.0,1.0014,5,4.39,25.9,Low,False
DF-100350,Sales,L5 - Manager,Munich,30,3.0,158835.0,160698.0,0.9884,12,1.43,25.9,Low,False
DF-100480,Support,L3 - Senior,Hamburg,56,3.0,84886.0,79901.0,1.0624,16,1.72,25.9,Low,False
DF-100660,Engineering,L3 - Senior,Berlin,38,4.0,104622.0,99366.0,1.0529,8,1.24,25.7,Low,False
DF-100645,Marketing,L1 - Junior,Munich,37,3.0,55140.0,44455.0,1.2404,18,4.75,25.7,Low,False
DF-100099,Product,L3 - Senior,Hamburg,8,3.0,101477.0,95476.0,1.0629,6,3.01,25.7,Low,False
DF-100128,Engineering,L1 - Junior,Munich,52,4.0,66629.0,63384.0,1.0512,17,3.36,25.7,Low,False
DF-100591,People/HR,L1 - Junior,Hamburg,19,4.0,45343.0,43809.0,1.035,15,3.45,25.7,Low,False
DF-100379,Data & Analytics,L4 - Lead,Munich,19,2.0,148218.0,134419.0,1.1027,16,6.88,25.5,Low,False
DF-100222,Finance,L2 - Mid,Munich,22,3.0,73987.0,72602.0,1.0191,17,2.54,25.3,Low,False
DF-100613,Data & Analytics,L5 - Manager,Munich,26,4.0,154890.0,150668.0,1.028,12,6.1,25.3,Low,False
DF-100022,Sales,L3 - Senior,Lisbon,13,4.0,93583.0,70104.0,1.3349,30,0.74,25.2,Low,False
DF-100192,Sales,L1 - Junior,Berlin,35,3.0,54512.0,51007.0,1.0687,15,5.75,25.0,Low,False
DF-100649,Engineering,L2 - Mid,Munich,6,3.0,87702.0,81626.0,1.0744,2,4.86,24.8,Low,False
DF-100215,Engineering,L1 - Junior,Berlin,28,4.0,62355.0,53311.0,1.1696,23,1.4,24.6,Low,False
DF-100218,Support,L3 - Senior,Remote-DE,16,4.0,70862.0,65544.0,1.0811,15,3.49,24.6,Low,False
DF-100164,Support,L2 - Mid,Remote-DE,46,5.0,50741.0,43513.0,1.1661,14,6.12,24.5,Low,False
DF-100482,Sales,L2 - Mid,Remote-DE,36,3.0,65819.0,61407.0,1.0718,11,8.15,24.5,Low,False
DF-100005,Support,L1 - Junior,Munich,26,3.0,43489.0,34954.0,1.2442,17,5.62,24.3,Low,False
DF-100421,Sales,L3 - Senior,Berlin,38,4.0,100086.0,93994.0,1.0648,21,0.77,24.3,Low,False
DF-100196,People/HR,L1 - Junior,Hamburg,22,5.0,46412.0,43445.0,1.0683,21,2.19,24.2,Low,False
DF-100200,Customer Success,L3 - Senior,Hamburg,23,4.0,93830.0,82868.0,1.1323,17,3.33,24.1,Low,False
DF-100659,Finance,L2 - Mid,Munich,55,2.0,73598.0,71922.0,1.0233,14,3.15,24.0,Low,False
DF-100067,Marketing,L1 - Junior,Munich,56,3.0,49038.0,48228.0,1.0168,4,0.0,24.0,Low,False
DF-100189,Sales,L2 - Mid,Hamburg,37,3.0,76047.0,73191.0,1.039,18,4.01,23.8,Low,False
DF-100142,Product,L3 - Senior,London,37,4.0,111532.0,109452.0,1.019,4,4.25,23.8,Low,False
DF-100505,Data & Analytics,L1 - Junior,Lisbon,46,3.0,46470.0,42572.0,1.0916,12,4.13,23.7,Low,False
DF-100179,Engineering,L2 - Mid,Munich,26,4.0,92775.0,84462.0,1.0984,24,0.61,23.7,Low,False
DF-100253,Data & Analytics,L3 - Senior,Hamburg,32,4.0,105636.0,104718.0,1.0088,11,7.16,23.7,Low,False
DF-100120,Finance,L4 - Lead,Hamburg,43,4.0,134231.0,111658.0,1.2022,21,1.07,23.6,Low,False
DF-100438,Product,L3 - Senior,Munich,70,5.0,111666.0,103282.0,1.0812,16,5.89,23.6,Low,False
DF-100677,Engineering,L2 - Mid,Hamburg,18,4.0,83000.0,83458.0,0.9945,15,7.29,23.5,Low,False
DF-100541,Engineering,L1 - Junior,Munich,37,3.0,65680.0,63925.0,1.0275,12,3.72,23.3,Low,False
DF-100627,Data & Analytics,L5 - Manager,Hamburg,75,4.0,162108.0,149203.0,1.0865,25,1.66,23.3,Low,False
DF-100656,Customer Success,L2 - Mid,Lisbon,9,1.0,55699.0,52820.0,1.0545,8,4.04,22.8,Low,False
DF-100322,Support,L4 - Lead,Remote-DE,46,3.0,96985.0,87806.0,1.1045,19,1.41,22.3,Low,False
DF-100097,Support,L2 - Mid,Munich,32,2.0,61203.0,52456.0,1.1667,16,7.09,22.2,Low,False
DF-100226,Sales,L1 - Junior,Berlin,56,4.0,55994.0,49200.0,1.1381,20,3.45,22.1,Low,False
DF-100181,Sales,L2 - Mid,Munich,63,4.0,81049.0,78072.0,1.0381,16,4.81,22.1,Low,False
DF-100384,Operations,L2 - Mid,Munich,25,3.0,67963.0,67281.0,1.0101,15,5.31,22.1,Low,False
DF-100678,Sales,L2 - Mid,Lisbon,39,4.0,53917.0,46178.0,1.1676,8,3.26,22.1,Low,False
DF-100476,Sales,L3 - Senior,Remote-DE,43,3.0,87453.0,82552.0,1.0594,10,3.33,22.1,Low,False
DF-100313,Marketing,L6 - Director,Lisbon,48,4.0,129038.0,116227.0,1.1102,14,3.63,22.0,Low,False
DF-100180,Engineering,L1 - Junior,Hamburg,34,3.0,61628.0,58210.0,1.0587,9,3.62,21.8,Low,False
DF-100028,Support,L2 - Mid,Lisbon,45,3.0,51449.0,47411.0,1.0852,16,5.86,21.7,Low,False
DF-100477,Sales,L1 - Junior,Lisbon,4,5.0,46733.0,46917.0,0.9961,4,6.22,21.7,Low,False
DF-100665,Finance,L3 - Senior,Munich,51,4.0,97392.0,89895.0,1.0834,16,5.33,21.6,Low,False
DF-100638,Product,L2 - Mid,Remote-DE,133,4.0,87625.0,69840.0,1.2547,15,7.05,21.6,Low,False
DF-100550,Engineering,L1 - Junior,Lisbon,67,3.0,53225.0,48236.0,1.1034,13,0.78,21.4,Low,False
DF-100298,Finance,L3 - Senior,London,12,4.0,97007.0,87310.0,1.1111,0,2.67,21.3,Low,False
DF-100058,Sales,L3 - Senior,Hamburg,49,5.0,94403.0,88745.0,1.0638,5,5.6,21.3,Low,False
DF-100630,Data & Analytics,L2 - Mid,Berlin,28,1.0,77257.0,67209.0,1.1495,11,3.75,21.3,Low,False
DF-100063,Support,L1 - Junior,Remote-DE,62,3.0,37708.0,35922.0,1.0497,9,2.64,21.3,Low,False
DF-100171,Customer Success,L2 - Mid,Hamburg,36,4.0,72727.0,61575.0,1.1811,15,2.07,21.2,Low,False
DF-100420,Sales,L1 - Junior,Hamburg,55,3.0,55750.0,53317.0,1.0456,11,4.86,21.2,Low,False
DF-100520,People/HR,L3 - Senior,Munich,100,3.0,92628.0,81861.0,1.1315,12,7.07,21.2,Low,False
DF-100514,Marketing,L1 - Junior,Remote-DE,23,3.0,46877.0,38755.0,1.2096,16,0.0,21.1,Low,False
DF-100176,Operations,L3 - Senior,Munich,19,4.0,85540.0,78847.0,1.0849,6,4.39,21.0,Low,False
DF-100412,Customer Success,L2 - Mid,Hamburg,35,5.0,70501.0,59213.0,1.1906,18,3.88,20.9,Low,False
DF-100271,Operations,L2 - Mid,Remote-DE,87,3.0,68495.0,55974.0,1.2237,15,1.56,20.8,Low,False
DF-100441,Engineering,L3 - Senior,Lisbon,23,4.0,95955.0,85085.0,1.1278,21,0.17,20.6,Low,False
DF-100251,Engineering,L5 - Manager,Lisbon,19,3.0,138500.0,126827.0,1.092,24,2.34,20.6,Low,False
DF-100361,Operations,L2 - Mid,Hamburg,18,4.0,59070.0,50656.0,1.1661,10,2.54,20.5,Low,False
DF-100323,Finance,L3 - Senior,Remote-DE,20,3.0,87654.0,82649.0,1.0606,20,1.07,20.5,Low,False
DF-100411,Operations,L3 - Senior,Remote-DE,57,4.0,81842.0,67017.0,1.2212,23,2.28,20.3,Low,False
DF-100050,Engineering,L2 - Mid,Berlin,41,4.0,85101.0,85113.0,0.9999,13,3.59,20.1,Low,False
DF-100430,Customer Success,L2 - Mid,Remote-DE,45,4.0,64939.0,62952.0,1.0316,9,5.3,20.0,Low,False
DF-100507,Product,L2 - Mid,London,42,2.0,110387.0,100628.0,1.097,18,3.88,19.9,Low,False
DF-100238,Finance,L3 - Senior,Hamburg,21,4.0,100248.0,88083.0,1.1381,22,2.85,19.9,Low,False
DF-100134,Customer Success,L1 - Junior,Remote-DE,29,3.0,48847.0,43831.0,1.1144,5,3.42,19.8,Low,False
DF-100525,Support,L1 - Junior,Remote-DE,59,3.0,39752.0,38654.0,1.0284,4,2.73,19.7,Low,False
DF-100643,Finance,L5 - Manager,Munich,56,3.0,153594.0,131088.0,1.1717,22,2.71,19.7,Low,False
DF-100499,Support,L2 - Mid,Berlin,49,5.0,56402.0,56403.0,1.0,7,3.92,19.6,Low,False
DF-100293,Sales,L2 - Mid,Remote-DE,82,1.0,86798.0,76386.0,1.1363,4,0.51,19.2,Low,False
DF-100585,People/HR,L1 - Junior,London,9,3.0,52373.0,49992.0,1.0476,8,8.03,19.1,Low,False
DF-100524,Sales,L4 - Lead,Remote-DE,25,3.0,134701.0,118348.0,1.1382,16,5.52,19.1,Low,False
DF-100343,Support,L5 - Manager,Berlin,23,3.0,103303.0,86904.0,1.1887,15,5.38,19.0,Low,False
DF-100273,Product,L3 - Senior,Berlin,108,4.0,115739.0,107745.0,1.0742,12,3.27,18.8,Low,False
DF-100431,Operations,L3 - Senior,Hamburg,25,2.0,91187.0,83035.0,1.0982,14,0.0,18.8,Low,False
DF-100436,People/HR,L4 - Lead,Munich,25,3.0,113907.0,90942.0,1.2525,12,5.63,18.5,Low,False
DF-100268,People/HR,L3 - Senior,Remote-DE,12,3.0,84114.0,84793.0,0.992,10,0.0,18.5,Low,False
DF-100145,Operations,L2 - Mid,Berlin,32,3.0,67792.0,54119.0,1.2526,21,0.54,18.5,Low,False
DF-100245,People/HR,L3 - Senior,Remote-DE,59,3.0,81038.0,73245.0,1.1064,19,2.63,18.4,Low,False
DF-100267,Finance,L3 - Senior,Hamburg,18,3.0,97055.0,82506.0,1.1763,21,1.7,18.3,Low,False
DF-100418,People/HR,L5 - Manager,Munich,45,3.0,146067.0,128054.0,1.1407,16,2.4,18.3,Low,False
DF-100031,Product,L2 - Mid,Remote-DE,44,2.0,74774.0,72914.0,1.0255,1,3.02,18.3,Low,False
DF-100516,Customer Success,L3 - Senior,Munich,8,4.0,101196.0,90852.0,1.1139,0,4.29,18.2,Low,False
DF-100286,Marketing,L3 - Senior,Remote-DE,40,4.0,97222.0,79952.0,1.216,16,5.87,18.0,Low,False
DF-100417,People/HR,L1 - Junior,Munich,47,2.0,47154.0,44960.0,1.0488,0,4.56,18.0,Low,False
DF-100339,Data & Analytics,L1 - Junior,Munich,46,4.0,62980.0,60269.0,1.045,14,5.59,18.0,Low,False
DF-100536,Finance,L4 - Lead,London,7,4.0,132265.0,120765.0,1.0952,14,5.12,18.0,Low,False
DF-100651,Operations,L3 - Senior,Munich,38,5.0,89665.0,88185.0,1.0168,13,4.59,17.9,Low,False
DF-100400,Support,L3 - Senior,Hamburg,19,4.0,75442.0,73138.0,1.0315,11,3.63,17.8,Low,False
DF-100109,Customer Success,L5 - Manager,Munich,15,3.0,161307.0,123112.0,1.3102,7,1.55,17.7,Low,False
DF-100289,Support,L2 - Mid,London,59,4.0,65526.0,53276.0,1.2299,17,4.96,17.4,Low,False
DF-100366,Operations,L2 - Mid,Remote-DE,40,3.0,62660.0,56068.0,1.1176,24,1.82,17.4,Low,False
DF-100433,Marketing,L4 - Lead,Munich,32,5.0,119950.0,116235.0,1.032,13,3.99,17.3,Low,False
DF-100383,Engineering,L1 - Junior,Remote-DE,4,4.0,58246.0,50130.0,1.1619,4,0.22,17.1,Low,False
DF-100325,Marketing,L2 - Mid,Hamburg,12,2.0,75321.0,64432.0,1.169,17,5.65,17.1,Low,False
DF-100363,Data & Analytics,L3 - Senior,Lisbon,55,4.0,88353.0,84131.0,1.0502,15,3.69,17.0,Low,False
DF-100276,Data & Analytics,L5 - Manager,London,43,3.0,186206.0,176058.0,1.0576,16,4.48,16.9,Low,False
DF-100234,Support,L2 - Mid,Berlin,14,3.0,57224.0,55622.0,1.0288,13,4.88,16.7,Low,False
DF-100295,Support,L2 - Mid,Munich,40,4.0,60243.0,50930.0,1.1829,16,4.87,16.7,Low,False
DF-100133,People/HR,L3 - Senior,Hamburg,16,4.0,89453.0,77403.0,1.1557,19,1.71,16.7,Low,False
DF-100344,Support,L1 - Junior,London,10,5.0,48382.0,43596.0,1.1098,13,6.38,16.5,Low,False
DF-100449,Engineering,L1 - Junior,Lisbon,72,4.0,51480.0,45907.0,1.1214,3,4.1,16.4,Low,False
DF-100406,Data & Analytics,L3 - Senior,Hamburg,81,4.0,105947.0,101739.0,1.0414,9,3.71,16.1,Low,False
DF-100540,Operations,L2 - Mid,Hamburg,34,3.0,69876.0,58561.0,1.1932,18,6.93,16.0,Low,False
DF-100266,Support,L3 - Senior,London,10,2.0,89067.0,84012.0,1.0602,5,5.94,16.0,Low,False
DF-100300,Product,L2 - Mid,Lisbon,32,3.0,68201.0,66174.0,1.0306,14,5.3,16.0,Low,False
DF-100376,Data & Analytics,L3 - Senior,Hamburg,18,4.0,116612.0,100930.0,1.1554,18,2.2,15.8,Low,False
DF-100535,Engineering,L2 - Mid,Lisbon,16,4.0,73619.0,69102.0,1.0654,18,4.16,15.7,Low,False
DF-100114,Operations,L5 - Manager,Hamburg,17,3.0,124403.0,125386.0,0.9922,9,2.94,15.7,Low,False
DF-100301,Operations,L2 - Mid,Lisbon,14,3.0,51615.0,51636.0,0.9996,10,5.5,15.7,Low,False
DF-100560,Finance,L1 - Junior,Munich,27,4.0,57707.0,55879.0,1.0327,5,5.76,15.6,Low,False
DF-100198,Marketing,L1 - Junior,Munich,6,3.0,57683.0,48302.0,1.1942,5,3.26,15.6,Low,False
DF-100113,Support,L1 - Junior,Hamburg,14,4.0,44956.0,42350.0,1.0615,10,6.29,15.5,Low,False
DF-100105,Product,L1 - Junior,London,21,5.0,72935.0,67753.0,1.0765,14,4.2,15.3,Low,False
DF-100667,Engineering,L1 - Junior,Munich,66,3.0,72202.0,59848.0,1.2064,8,3.81,15.3,Low,False
DF-100586,Sales,L1 - Junior,Lisbon,34,3.0,48719.0,40977.0,1.1889,12,5.87,15.2,Low,False
DF-100147,Data & Analytics,L4 - Lead,Hamburg,56,4.0,137726.0,130575.0,1.0548,15,6.46,15.1,Low,False
DF-100320,Finance,L2 - Mid,London,20,3.0,78153.0,67074.0,1.1652,16,3.59,14.7,Low,False
DF-100288,Product,L1 - Junior,Lisbon,42,2.0,51013.0,45600.0,1.1187,10,2.36,14.6,Low,False
DF-100557,Sales,L1 - Junior,Berlin,39,3.0,62066.0,49961.0,1.2423,11,3.16,14.4,Low,False
DF-100068,Support,L3 - Senior,London,47,5.0,88732.0,81120.0,1.0938,8,4.22,14.4,Low,False
DF-100490,Operations,L4 - Lead,Munich,41,3.0,126710.0,103725.0,1.2216,10,7.83,14.4,Low,False
DF-100555,Sales,L3 - Senior,Hamburg,12,4.0,103813.0,102393.0,1.0139,5,1.54,14.4,Low,False
DF-100104,Data & Analytics,L3 - Senior,Berlin,4,2.0,119403.0,85246.0,1.4007,4,5.58,14.3,Low,False
DF-100405,Support,L4 - Lead,Munich,58,5.0,106017.0,94779.0,1.1186,8,4.87,14.2,Low,False
DF-100359,Data & Analytics,L2 - Mid,Lisbon,38,3.0,71436.0,66095.0,1.0808,16,4.34,14.2,Low,False
DF-100581,Engineering,L5 - Manager,Munich,28,3.0,187298.0,171414.0,1.0927,14,4.97,14.2,Low,False
DF-100553,Finance,L1 - Junior,Munich,18,3.0,54037.0,49310.0,1.0959,6,8.18,14.2,Low,False
DF-100156,Operations,L5 - Manager,Lisbon,66,2.0,100727.0,86033.0,1.1708,10,8.05,14.2,Low,False
DF-100481,Finance,L1 - Junior,Munich,31,3.0,53629.0,50901.0,1.0536,1,5.68,14.2,Low,False
DF-100552,Sales,L1 - Junior,Berlin,55,4.0,54250.0,48524.0,1.118,13,1.51,14.2,Low,False
DF-100413,Engineering,L3 - Senior,London,35,4.0,127801.0,122633.0,1.0421,6,3.73,14.1,Low,False
DF-100676,Support,L5 - Manager,Lisbon,9,1.0,90971.0,86214.0,1.0552,1,3.98,14.1,Low,False
DF-100233,Data & Analytics,L5 - Manager,Remote-DE,46,5.0,154408.0,129127.0,1.1958,17,7.15,14.1,Low,False
DF-100319,Data & Analytics,L3 - Senior,Munich,77,3.0,115033.0,106677.0,1.0783,6,4.52,14.0,Low,False
DF-100102,Product,L4 - Lead,Munich,45,1.0,145072.0,130405.0,1.1125,9,3.73,14.0,Low,False
DF-100135,Sales,L2 - Mid,Lisbon,60,3.0,64622.0,56529.0,1.1432,15,4.56,13.9,Low,False
DF-100316,Sales,L2 - Mid,Berlin,82,3.0,84259.0,64252.0,1.3114,4,3.59,13.8,Low,False
DF-100404,Support,L3 - Senior,Remote-DE,9,2.0,71084.0,67018.0,1.0607,0,4.09,13.8,Low,False
DF-100547,Sales,L1 - Junior,Hamburg,49,3.0,56315.0,43458.0,1.2958,11,4.56,13.8,Low,False
DF-100023,Product,L4 - Lead,Hamburg,25,2.0,144220.0,137811.0,1.0465,5,3.72,13.7,Low,False
DF-100009,Marketing,L1 - Junior,Lisbon,28,3.0,39886.0,34699.0,1.1495,11,5.88,13.5,Low,False
DF-100495,Support,L3 - Senior,Remote-DE,51,3.0,78280.0,60919.0,1.285,12,1.78,13.4,Low,False
DF-100532,Engineering,L2 - Mid,Remote-DE,10,3.0,82646.0,77754.0,1.0629,8,0.42,13.4,Low,False
DF-100046,Support,L1 - Junior,Hamburg,21,4.0,46187.0,39139.0,1.1801,4,3.61,13.2,Low,False
DF-100389,Marketing,L1 - Junior,Berlin,59,3.0,50019.0,43480.0,1.1504,11,2.6,13.0,Low,False
DF-100206,Product,L3 - Senior,Berlin,51,3.0,106849.0,94718.0,1.1281,14,0.0,12.9,Low,False
DF-100443,Data & Analytics,L1 - Junior,Munich,18,4.0,66008.0,63175.0,1.0448,12,3.8,12.9,Low,False
DF-100346,Engineering,L5 - Manager,Munich,54,4.0,195380.0,164564.0,1.1873,12,0.88,12.9,Low,False
DF-100045,Engineering,L2 - Mid,Hamburg,26,2.0,89723.0,71480.0,1.2552,5,6.93,12.9,Low,False
DF-100373,Support,L6 - Director,Remote-DE,17,2.0,138791.0,125607.0,1.105,11,5.71,12.9,Low,False
DF-100342,Sales,L2 - Mid,Hamburg,20,4.0,80915.0,70132.0,1.1538,18,3.75,12.8,Low,False
DF-100492,Support,L1 - Junior,Berlin,11,4.0,43756.0,40959.0,1.0683,5,3.66,12.8,Low,False
DF-100217,Support,L2 - Mid,London,41,3.0,62490.0,51560.0,1.212,7,3.32,12.6,Low,False
DF-100473,Support,L6 - Director,Hamburg,6,4.0,159545.0,144329.0,1.1054,1,4.04,12.5,Low,False
DF-100174,Operations,L2 - Mid,Munich,20,2.0,65778.0,46202.0,1.4237,12,1.27,12.4,Low,False
DF-100549,Finance,L2 - Mid,Lisbon,9,3.0,53685.0,47314.0,1.1347,11,0.92,12.4,Low,False
DF-100054,Support,L5 - Manager,Lisbon,10,3.0,101439.0,75795.0,1.3383,6,5.83,12.4,Low,False
DF-100269,Support,L2 - Mid,Munich,32,3.0,66587.0,50701.0,1.3133,9,4.26,12.3,Low,False
DF-100378,Engineering,L3 - Senior,London,25,4.0,127762.0,122679.0,1.0414,2,4.39,12.2,Low,False
DF-100094,Support,L1 - Junior,Remote-DE,22,4.0,42140.0,38169.0,1.104,10,4.2,12.2,Low,False
DF-100117,Engineering,L3 - Senior,Lisbon,40,4.0,93511.0,86933.0,1.0757,13,8.21,12.1,Low,False
DF-100092,Product,L1 - Junior,Remote-DE,11,3.0,59065.0,54881.0,1.0762,7,0.89,12.0,Low,False
DF-100474,Operations,L2 - Mid,Munich,36,5.0,66549.0,62656.0,1.0621,14,5.22,11.9,Low,False
DF-100655,Sales,L1 - Junior,Lisbon,40,5.0,48702.0,45522.0,1.0699,6,4.02,11.9,Low,False
DF-100398,Finance,L2 - Mid,Berlin,42,3.0,76731.0,64101.0,1.197,10,0.0,11.8,Low,False
DF-100039,Data & Analytics,L3 - Senior,Lisbon,46,2.0,86073.0,76764.0,1.1213,3,6.06,11.8,Low,False
